Condition,Description,Symptoms
Hypertension,A condition where the force of the blood against the artery walls is too high.,"Headaches, shortness of breath, nosebleeds"
Coronary Artery Disease,Damage or disease in the heart's major blood vessels.,"Chest pain, shortness of breath, fatigue"
Congestive Heart Failure,A chronic condition where the heart doesn't pump blood as well as it should.,"Fatigue, swelling in legs, rapid heartbeat"
Arrhythmias,"Improper beating of the heart, whether irregular, too fast, or too slow.","Palpitations, dizziness, fainting"
Peripheral Artery Disease,A circulatory condition in which narrowed blood vessels reduce blood flow to the limbs.,"Leg pain while walking, numbness, coldness in leg or foot"
Stroke,Occurs when the blood supply to part of the brain is interrupted or reduced.,"Sudden numbness, confusion, trouble speaking"
Alzheimer’s Disease,A progressive disease that destroys memory and other important mental functions.,"Memory loss, confusion, mood swings"
Parkinson’s Disease,"A disorder of the central nervous system that affects movement, often including tremors.","Tremor, slow movement, stiffness"
Multiple Sclerosis,A disease in which the immune system eats away at the protective covering of nerves.,"Numbness, fatigue, walking difficulties"
Epilepsy,"A neurological disorder marked by sudden recurrent episodes of sensory disturbance, loss of consciousness, or convulsions.","Seizures, staring spells, temporary confusion"
Chronic Migraine,A headache occurring 15 or more days per month for more than three months.,"Throbbing pain, nausea, sensitivity to light"
COPD,A group of lung diseases that block airflow and make it difficult to breathe.,"Shortness of breath, wheezing, chest tightness"
Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Wheezing, coughing, chest tightness"
Sleep Apnea,A serious sleep disorder in which breathing repeatedly stops and starts.,"Loud snoring, gasping during sleep, daytime fatigue"
Pulmonary Hypertension,High blood pressure in the arteries to your lungs.,"Shortness of breath, dizziness, chest pressure"
Type 2 Diabetes,A chronic condition that affects the way the body processes blood sugar.,"Increased thirst, frequent urination, fatigue"
Type 1 Diabetes,A chronic condition in which the pancreas produces little or no insulin.,"Weight loss, blurred vision, fatigue"
Hypothyroidism,A condition in which the thyroid gland doesn't produce enough thyroid hormone.,"Fatigue, weight gain, cold intolerance"
Hyperthyroidism,The overproduction of a hormone by the butterfly-shaped gland in the neck.,"Weight loss, rapid heartbeat, sweating"
PCOS,A hormonal disorder causing enlarged ovaries with small cysts.,"Irregular periods, acne, obesity"
Obesity,A disorder involving excessive body fat that increases the risk of health problems.,"Breathlessness, joint pain, fatigue"
Rheumatoid Arthritis,A chronic inflammatory disorder affecting many joints.,"Joint pain, stiffness, swelling"
Lupus,An inflammatory disease caused when the immune system attacks its own tissues.,"Fatigue, rash, joint pain"
Crohn’s Disease,A chronic inflammatory bowel disease that affects the lining of the digestive tract.,"Abdominal pain, diarrhea, weight loss"
Ulcerative Colitis,"A chronic, inflammatory bowel disease that causes inflammation in the digestive tract.","Rectal bleeding, diarrhea, abdominal cramps"
Celiac Disease,An immune reaction to eating gluten.,"Diarrhea, bloating, fatigue"
Psoriasis,"A condition in which skin cells build up and form scales and itchy, dry patches.","Red patches, silvery scales, itching"
Breast Cancer,A cancer that forms in the cells of the breasts.,"Lump, nipple discharge, change in breast shape"
Prostate Cancer,Cancer in a man's prostate.,"Trouble urinating, pelvic pain, blood in urine"
Colorectal Cancer,Cancer of the colon or rectum.,"Blood in stool, abdominal pain, fatigue"
Leukemia,"Cancer of blood-forming tissues, hindering the body’s ability to fight infection.","Fever, fatigue, frequent infections"
Lung Cancer,A cancer that begins in the lungs.,"Coughing (often with blood), chest pain, weight loss"
Lymphoma,Cancer of the lymphatic system.,"Swollen lymph nodes, fatigue, weight loss"
Chronic Kidney Disease,The gradual loss of kidney function.,"Swelling, fatigue, changes in urination"
Fatty Liver Disease,A buildup of fat in the liver.,"Fatigue, abdominal discomfort, jaundice"
Hepatitis B,A serious liver infection caused by the hepatitis B virus.,"Jaundice, fatigue, abdominal pain"
Cirrhosis,Chronic liver damage leading to scarring and liver failure.,"Weakness, weight loss, easy bruising"
Depression,A mood disorder that causes a persistent feeling of sadness and loss of interest.,"Sadness, fatigue, sleep disturbances"
Anxiety,A mental health disorder characterized by feelings of worry or fear.,"Nervousness, restlessness, rapid breathing"
Bipolar Disorder,A disorder associated with episodes of mood swings.,"Mania, depression, irritability"
Schizophrenia,"A disorder that affects a person's ability to think, feel, and behave clearly.","Hallucinations, delusions, disorganized speech"
OCD,"A disorder in which people have recurring, unwanted thoughts and behaviors.","Repetitive behaviors, unwanted thoughts"
Osteoarthritis,"The most common form of arthritis, occurring when the cartilage wears down.","Joint pain, stiffness, decreased flexibility"
Osteoporosis,A condition in which bones become weak and brittle.,"Back pain, loss of height, easily fractured bones"
Chronic Back Pain,Long-term back pain that lasts for 12 weeks or longer.,"Persistent pain, stiffness, reduced range of motion"
Fibromyalgia,Widespread musculoskeletal pain accompanied by fatigue and memory issues.,"Widespread pain, fatigue, cognitive difficulties"
Periodontitis,A serious gum infection that damages gums and can destroy the jawbone.,"Swollen gums, bad breath, tooth loss"
TMJ Disorder,Pain and compromised movement of the jaw joint and surrounding muscles.,"Jaw pain, difficulty chewing, clicking sound"
Metabolic Syndrome,"A cluster of conditions increasing risk of heart disease, stroke, and diabetes.","High blood pressure, high blood sugar, excess body fat"
Long COVID,Post-viral condition with lingering symptoms after COVID-19 recovery.,"Fatigue, brain fog, chest pain"
Chronic Fatigue Syndrome,A disorder characterized by extreme fatigue that doesn't improve with rest.,"Extreme fatigue, memory issues, joint pain"
